Bestandsnaam;Bestandsmappen;Bron_Onderwerp;Bron_Afzender;Bron_Ontvangstdatum;Bron_Emailadres;Map1;Map2;Map3;Map4;Situatie;Onderwerp;Relatietypering;Relatie;Kringlidtypering;Documenttypering
Mediamarkt factuur 22-7-2019 Huawei p   smart 2019 riet2970.pdf;N\:winkel\elktrozaak;;;;;winkel;elktrozaak;;;Geval;;Winkel;elktrozaak;;Factuur
Fax La Palazina 231020002564.doc;N\:ontspanning\vakantie;;;;;ontspanning;vakantie;;;Bezigheid;vakantie;;;;
A000DD26RW-318..pdf;;Over jouw bestelling A000DD26RW van SE Websales via Bol;SE Websales via bol;2025-12-28 22:12:44;noreply\@verkopen.bol.com;;;;;;;;;;
2022170215-415..pdf;;Over jouw bestelling A000C8HNA8 van Animal Platform Control BV via   bol.com;Animal Platform Control via bol;2025-12-08 22:37:41;noreply\@verkopen.bol.com;;;;;;;;;;
Mediamarkt factuur 22-7-2019 Huawei p   smart 2019 theo2971.pdf;N\:winkel\elktrozaak;;;;;winkel;elktrozaak;;;Geval;;Winkel;elktrozaak;;Factuur
Mediamarkt factuur 26-762021 Oppo   theo2972.pdf;N\:winkel\elktrozaak;;;;;winkel;elktrozaak;;;Geval;;Winkel;elktrozaak;;Factuur
Factuur Pot 130120212973.pdf;N\:winkel\fietsenmaker;;;;;winkel;fietsenmaker;;;Geval;;Winkel;fietsenmaker;;Factuur
Factuur Pot 150120212974.pdf;N\:winkel\fietsenmaker;;;;;winkel;fietsenmaker;;;Geval;;Winkel;fietsenmaker;;Factuur
Factuur Pot 211020202975.pdf;N\:winkel\fietsenmaker;;;;;winkel;fietsenmaker;;;Geval;;Winkel;fietsenmaker;;Factuur
Factuur Pot 7 mei 20212976.pdf;N\:winkel\fietsenmaker;;;;;winkel;fietsenmaker;;;Geval;;Winkel;fietsenmaker;;Factuur
Factuur Pot fiets theo 170320222977.pdf;N\:winkel\fietsenmaker;;;;;winkel;fietsenmaker;;;Geval;;Winkel;fietsenmaker;;Factuur
Factuur trapas riet 29-4-20202978.pdf;N\:winkel\fietsenmaker;;;;;winkel;fietsenmaker;;;Geval;;Winkel;fietsenmaker;;Factuur
Factuur-48302 Fietsenwinkel   Utrecht2979.pdf;N\:winkel\fietsenmaker;;;;;winkel;fietsenmaker;;;Geval;;Winkel;fietsenmaker;;Factuur
Kassabon Fietsenwinkel 060120232980.pdf;N\:winkel\fietsenmaker;;;;;winkel;fietsenmaker;;;Geval;;Winkel;fietsenmaker;;
Order    Fietsenwinkel 06012023 Doc-901088042981.pdf;N\:winkel\fietsenmaker;;;;;winkel;fietsenmaker;;;Geval;;Winkel;fietsenmaker;;
Jeans Centre Factuur 140620232982.pdf;N\:winkel\kleding en schoenen;;;;;winkel;kleding en schoenen;;;Geval;;Winkel;kleding en schoenen;;Factuur
Factuur Schuring lockmahine   171120212983.pdf;N\:winkel\naaimachinehandel;;;;;winkel;naaimachinehandel;;;Geval;;Winkel;naaimachinehandel;;Factuur
factuur Oogwereld Van der Werf 05012023   theo2984.pdf;N\:winkel\opticien;;;;;winkel;opticien;;;Geval;;Winkel;opticien;;Factuur
factuur Oogwereld Van der Werf 09012023   riet2985.pdf;N\:winkel\opticien;;;;;winkel;opticien;;;Geval;;Winkel;opticien;;Factuur
factuur Oogwereld Van der Werf   150720232986.pdf;N\:winkel\opticien;;;;;winkel;opticien;;;Geval;;Winkel;opticien;;Factuur
Pearle factuur en oogmetinggegevens Theo   20-6-20172987.pdf;N\:winkel\opticien;;;;;winkel;opticien;;;Geval;;Winkel;opticien;;Factuur
Rekeningoverzicht-2015-082988.pdf;N\:winkel\warenhuis\Bijenkorf;;;;;winkel;warenhuis;Bijenkorf;;Geval;;Winkel;Bijenkorf;;Factuur
Rekeningoverzicht-2015-092989.pdf;N\:winkel\warenhuis\Bijenkorf;;;;;winkel;warenhuis;Bijenkorf;;Geval;;Winkel;Bijenkorf;;Factuur
Rekeningoverzicht-2015-122990.pdf;N\:winkel\warenhuis\Bijenkorf;;;;;winkel;warenhuis;Bijenkorf;;Geval;;Winkel;Bijenkorf;;Factuur
Rekeningoverzicht-2016-012991.pdf;N\:winkel\warenhuis\Bijenkorf;;;;;winkel;warenhuis;Bijenkorf;;Geval;;Winkel;Bijenkorf;;Factuur
Contract Kwantum 22-2-2018 tapijt2992.pdf;N\:winkel\woninginrichter;;;;;winkel;woninginrichter;;;Geval;;Winkel;woninginrichter;;Overeenkomst
Eijerkamp rekening afleverbewijs   020620222993.pdf;N\:winkel\woninginrichter;;;;;winkel;woninginrichter;;;Geval;;Winkel;woninginrichter;;Factuur
Richter factuur bed theo 270520222996.pdf;N\:winkel\woninginrichter;;;;;winkel;woninginrichter;;;Geval;;Winkel;woninginrichter;;Factuur
Tegel Service Wolter factuur 123   180320222997.pdf;N\:winkel\woninginrichter;;;;;winkel;woninginrichter;;;Geval;;Winkel;woninginrichter;;Factuur
Ten Hagen factuur Geurts\_090120232998.pdf;N\:winkel\woninginrichter;;;;;winkel;woninginrichter;;;Geval;;Winkel;woninginrichter;;Factuur
Apotheek Hofbraak factuur   30-8-20192999.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Systeem DH\_Achterkantv022805.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Vereisten DH\_Achterkantv022806.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Vereisten DH\_Achterkantv032807.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Visie en context DH\_Achterkant   v022808.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Wat kan ik met DH\_Achterkant2809.pdf;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Wat kan ik met DH\_Achterkantv032810.pdf;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Wat kan ik met DH\_Achterkantv04 en de   reactie daarop2811.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
Wat kan ik met DH\_Achterkantv042812.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
a element deel2813.txt;N\:programmatuur\programeren\casus DH\ontwikkeling;;;;;programmatuur;programeren;casus DH;ontwikkeling;Bezigheid;programmeren;;;;
a element2814.txt;N\:programmatuur\programeren\casus DH\ontwikkeling;;;;;programmatuur;programeren;casus DH;ontwikkeling;Bezigheid;programmeren;;;;
DIV2815.docx;N\:programmatuur\programeren\casus DH\ontwikkeling;;;;;programmatuur;programeren;casus DH;ontwikkeling;Bezigheid;programmeren;;;;
paginas2816.docx;N\:programmatuur\programeren\casus DH\ontwikkeling;;;;;programmatuur;programeren;casus DH;ontwikkeling;Bezigheid;programmeren;;;;
table wp\_navbar\_menub2817.txt;N\:programmatuur\programeren\casus DH\ontwikkeling;;;;;programmatuur;programeren;casus DH;ontwikkeling;Bezigheid;programmeren;;;;
zoeken2818.txt;N\:programmatuur\programeren\casus DH\ontwikkeling;;;;;programmatuur;programeren;casus DH;ontwikkeling;Bezigheid;programmeren;;;;
2-11-handboek-dim-hwbp---versie-18-september-20092819.pdf;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;Boek
20140417 Toepassingsprofiel metadatering   lokale overheden2820.docx;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
bc04 Nederlandse Basis   classificatie2821.pdf;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
DMS2822.docx;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
ED3-v22823.pdf;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
Elementen per entiteit2824.docx;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
elementen2825.docx;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
Elementenlijst2826.docx;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
elementen\_tg2827.docx;N\:programmatuur\programeren\casus huis DMS;;;;;programmatuur;programeren;casus huis DMS;;Bezigheid;programmeren;;;;
Particuliere\_Woonverzekering\_overzicht\_wijzigingen-91..pdf;;Nota en overzicht van uw verzekeringen;unive.oost\@unive.nl;2026-05-08 18:47:47;unive.oost\@unive.nl;;;;;;;;;;Factuur
NRC abonnement 2h2017 herinnering   13-7-20170005.pdf;N\:abonnement\krant;;;;;abonnement;krant;;;"Geval; Bezigheid";abonnement;Mediabedrijf;krant;;
2025-10-18 Schriftliche Stellungnahme zu   den finanziellen Folgen der Scheidung-558..odt;;Fwd: Schrifliche Stellungnahme;Geert Geurts;2025-10-20 21:24:42;geert\@verweggistan.eu;;;;;;;;;;
6 Eigendomsinformatie - Haaksbergen H   33682020.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
8 Afschrift openbaar register - Hyp4 dl   73006 nr 1592021.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Bankafschrift
Concept    -  AKTE hypotheek SNS Bank model   BA1 (KIK) 01-03-2022\_212452022.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
Concept    -  AKTE van levering   (nvm-KIKmodel) 01-03-2022\_212452023.pdf;N\:huis\S68\notaris;;;;;huis;S68;notaris;;Bezigheid;S68;;;;Factuur
Bijlage Energierapport april-92..pdf;;Je verbruiksgegevens;Eneco;2026-05-07 14:43:14;Eneco\_noreply\@eneco.com;;;;;;;;;;Rapport
Printhead allignent problem   041220070132.doc;N\:apparatuur\printer\Officejet9120;;;;;apparatuur;printer;Officejet9120;;Bezigheid;printer;;;;
MediamarktTAX\_INVOICE-63812b6540b46c7648f03189-8100616225-167975460   riet 251120220133.pdf;N\:apparatuur\telefoon;;;;;apparatuur;telefoon;;;Bezigheid;telefoon;;;;
GT-I9300\_UM\_Open\_Jellybean\_Dut\_Rev.1.1\_121121\_Screen   Handleiding0134.pdf;N\:apparatuur\telefoon\Galaxy;;;;;apparatuur;telefoon;Galaxy;;Bezigheid;telefoon;;;;Handleiding
Samsung Galaxy SIII0135.docx;N\:apparatuur\telefoon\Galaxy;;;;;apparatuur;telefoon;Galaxy;;Bezigheid;telefoon;;;;
Simkaarten Theo en Riet  va 270720180136.docx;N\:apparatuur\telefoon\Galaxy;;;;;apparatuur;telefoon;Galaxy;;Bezigheid;telefoon;;;;
9025062563 Bevestiging zekelijke   overeenkomst T-mobile0137.pdf;N\:apparatuur\telefoon\i-Phone;;;;;apparatuur;telefoon;i-Phone;;Bezigheid;telefoon;;;;Bevestiging
Aangeschaft0138.txt;N\:apparatuur\telefoon\i-Phone;;;;;apparatuur;telefoon;i-Phone;;Bezigheid;telefoon;;;;
svb-mijn-aow 20182664.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;
svb-uw-aow-20222665.pdf;N\:overheid\SVB;;;;;overheid;SVB;;;Geval;;Overheid;SVB;;
3065922 Aflossing lening Naionaal   warmtefonds2673.pdf;N\:overheid\Warmtefonds;;;;;overheid;Warmtefonds;;;Geval;;Overheid;Warmtefonds;;
Bijlage Energierapport januari-274..pdf;;Uw verbruiksgegevens;Eneco;2026-02-07 14:21:25;Eneco\_noreply\@eneco.com;;;;;;;;;;Rapport
REISDOCUMENT ROME SEPT 20062565.doc;N\:ontspanning\vakantie;;;;;ontspanning;vakantie;;;Bezigheid;vakantie;;;;
Reservering San Teodor 4-5-20192566.pdf;N\:ontspanning\vakantie;;;;;ontspanning;vakantie;;;Bezigheid;vakantie;;;;
ricevuta locazione breve (2)-564..pdf;;Receipt Fontanacota;Caterina Berta;2025-10-16 08:46:29;caterinaber\@gmail.com;;;;;;;;;;
Brief 6-1-2020 ledenpas 20202057.pdf;N\:idiële instelling\Natuurmonumenten;;;;;idiële instelling;Natuurmonumenten;;;"Geval; Bezigheid";abonnement;Goede doelen;Natuurmonumenten;;Brief
Brief 7-1-2022 ledenpas 20222058.pdf;N\:idiële instelling\Natuurmonumenten;;;;;idiële instelling;Natuurmonumenten;;;"Geval; Bezigheid";abonnement;Goede doelen;Natuurmonumenten;;Brief
index2059.html;N\:kursus\HTML5;;;;;kursus;HTML5;;;Bezigheid;HTML5;;;;
Opstarten IDE PHP2060.txt;N\:kursus\IDE PHP;;;;;kursus;IDE PHP;;;Bezigheid;IDE PHP;;;;
javanotes6-linked2061.pdf;N\:kursus\Java;;;;;kursus;Java;;;Bezigheid;Java;;;;
javanotes62062.pdf;N\:kursus\Java;;;;;kursus;Java;;;Bezigheid;Java;;;;
0430287720\_001000CRC\_RASF0\_20081008\_200800100017.pdf;N\:administratie\amro-afschriften;;;;;administratie;amro-afschriften;;;Bezigheid;administratie;;;;Bankafschrift
Bijsluiter D3 Hahnemann Apotheek   031020233000.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;
Data DH\_Achterkantv022795.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
De Hofstad2796.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
DH directories nieuw2797.docx;N\:programmatuur\programeren\casus DH\achterkant;;;;;programmatuur;programeren;casus DH;achterkant;Bezigheid;programmeren;;;;
2022-XXXX\_Twente-Milieu\_-Afvalkalender-Haaksbergen-12-12\_Verpakkingen2885.pdf;N\:voorziening\afval;;;;;voorziening;afval;;;Geval;;Voorziening;afval;;
Factuur Nienhuis 170320222886.pdf;N\:voorziening\afval;;;;;voorziening;afval;;;Geval;;Voorziening;afval;;Factuur
Bibliotheek Haaksbergen factuur   20162887.pdf;N\:voorziening\bibliotheek;;;;;voorziening;bibliotheek;;;"Geval; Bezigheid";boeken;Voorziening;bibliotheek;;Factuur
1\_FAC\_ORG\_1072650\_2026-03-24   1092-179..pdf;;Factuur;ANWB Correspondentie;2026-03-24 19:15:49;correspondentie\@anwb.nl;;;;;;;;;;Factuur
Brief bijwerken digitaal dossier   230520223001.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Brief
Brief NatuurApotheek 0720233002.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Brief
De Hahnemann Apotheek factuur   220820243003.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
2023121165852 factuur SISE R   Geurts-99..pdf;;Fw: Verzoek OHRA zorgverzekering volledige gegevens;Riet Geurts;2026-05-05 15:41:38;riet.geurts\@outlook.com;;;;;;;;;;Factuur
Info contractvernieuwing0139.pdf;N\:apparatuur\telefoon\i-Phone;;;;;apparatuur;telefoon;i-Phone;;Bezigheid;telefoon;;;;Overeenkomst
Lenovo moto g40140.docx;N\:apparatuur\telefoon\Lenovo;;;;;apparatuur;telefoon;Lenovo;;Bezigheid;telefoon;;;;
Delta LLoyd Specificatie uitkering   december 2013 Theo2757.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;
Delta Lloyd Specificatie uitkering   januari 20142758.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;
Jaaropgave   NNHCM\_20230118021039-79207-0210386842759.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";jaaropgave pensioen;Financiële instelling;NN vroeger Delta LLoyd;;Jaaropgave
Nationale Nederlanden  Uniform pensioenoverzicht  1-3-20192760.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;Pensioenoverzicht
NN Brief account aangemaakt in mijn-nn   020820222761.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;Brief
NN Jaaropgaaf 2019 Theo2762.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;Jaaropgave
NN Jaaropgaaf 20202763.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;Jaaropgave
NN uniform pensioenoverzcht per 2020   24-3-20202764.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;
NNHCM\_20230118021039-79207-0210386842765.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;
Uitkeringsspecificatie oktober   2022NNHCM\_20221109050054-79207-0500515362766.pdf;N\:pensioen\NN vroeger Delta LLoyd;;;;;pensioen;NN vroeger Delta LLoyd;;;"Geval; Bezigheid";pensioen;Financiële instelling;NN vroeger Delta LLoyd;;
PfZW    Verklaring afkoop2767.pdf;N\:pensioen\PfZW;;;;;pensioen;PfZW;;;"Geval; Bezigheid";pensioen;Financiële instelling;PfZW;;Verklaring
PfZW AanvraagOuderdomspensioen2768.pdf;N\:pensioen\PfZW;;;;;pensioen;PfZW;;;"Geval; Bezigheid";pensioen;Financiële instelling;PfZW;;Aanvraag
PfZW brief ouderdomspensioen2769.pdf;N\:pensioen\PfZW;;;;;pensioen;PfZW;;;"Geval; Bezigheid";pensioen;Financiële instelling;PfZW;;Brief
PfZW Herinnering opgave gegevens PFZW   pensioen2770.pdf;N\:pensioen\PfZW;;;;;pensioen;PfZW;;;"Geval; Bezigheid";pensioen;Financiële instelling;PfZW;;
PfZW Ingang pensioen Riet2771.pdf;N\:pensioen\PfZW;;;;;pensioen;PfZW;;;"Geval; Bezigheid";pensioen;Financiële instelling;PfZW;;
PfZW Jaaropgave 2015\_10-1-2016   0-00-002772.pdf;N\:pensioen\PfZW;;;;;pensioen;PfZW;;;"Geval; Bezigheid";jaaropgave pensioen;Financiële instelling;PfZW;;Jaaropgave
PfZW Ouderdomspensioen PFZW collectief 27   mrt 20152773.pdf;N\:pensioen\PfZW;;;;;pensioen;PfZW;;;"Geval; Bezigheid";pensioen;Financiële instelling;PfZW;;
PfZW Pensioenoverzicht Riet 20132774.pdf;N\:pensioen\PfZW;;;;;pensioen;PfZW;;;"Geval; Bezigheid";pensioen;Financiële instelling;PfZW;;Pensioenoverzicht
PfZW Pensioenoverzicht Riet Geurts   20132775.pdf;N\:pensioen\PfZW;;;;;pensioen;PfZW;;;"Geval; Bezigheid";pensioen;Financiële instelling;PfZW;;Pensioenoverzicht
Makita handleiding batterij lader2776.pdf;N\:programmatuur\gereedschap;;;;;programmatuur;gereedschap;;;Bezigheid;programmatuur;;;;Handleiding
OCAT v2 supplemental information   download2777.docx;N\:programmatuur\gereedschap;;;;;programmatuur;gereedschap;;;Bezigheid;programmatuur;;;;
OCAT2778.zip;N\:programmatuur\gereedschap;;;;;programmatuur;gereedschap;;;Bezigheid;programmatuur;;;;
OneNote Documenten190720182779.zip;N\:programmatuur\gereedschap;;;;;programmatuur;gereedschap;;;Bezigheid;programmatuur;;;;
OneNote Documenten1907201822780.zip;N\:programmatuur\gereedschap;;;;;programmatuur;gereedschap;;;Bezigheid;programmatuur;;;;
Waarom doet mijn toetsenbord   raar2781.docx;N\:programmatuur\gereedschap;;;;;programmatuur;gereedschap;;;Bezigheid;programmatuur;;;;
Download llink en Licentiecode Office   201\`92782.txt;N\:programmatuur\gereedschap\Office 2016 Licentie;;;;;programmatuur;gereedschap;Office 2016 Licentie;;Bezigheid;programmatuur;;;;
Installatiegids\_Office\_20162783.pdf;N\:programmatuur\gereedschap\Office 2016 Licentie;;;;;programmatuur;gereedschap;Office 2016 Licentie;;Bezigheid;programmatuur;;;;
OneDayOnly  Bestelling 1005822392784.msg;N\:programmatuur\gereedschap\Office 2016 Licentie;;;;;programmatuur;gereedschap;Office 2016 Licentie;;Bezigheid;programmatuur;;;;
AKD-736109441718 Panda factuur   110220242785.pdf;N\:programmatuur\gereedschap\Panda;;;;;programmatuur;gereedschap;Panda;;Bezigheid;programmatuur;;;;Factuur
Algemene handelsvoorwaarden van   Cleverbridge GmbH en Cleverbridge Inc2786.pdf;N\:programmatuur\gereedschap\Panda;;;;;programmatuur;gereedschap;Panda;;Bezigheid;programmatuur;;;;
PC THEOGEURTS\_HP onbeschermd2787.docx;N\:programmatuur\gereedschap\Panda;;;;;programmatuur;gereedschap;Panda;;Bezigheid;programmatuur;;;;
PFA\_153758 Panda licentie tot   20142788.pdf;N\:programmatuur\gereedschap\Panda;;;;;programmatuur;gereedschap;Panda;;Bezigheid;programmatuur;;;;
Access programmeerconventies2789.doc;N\:programmatuur\programeren;;;;;programmatuur;programeren;;;Bezigheid;programmeren;;;;
HTML5 What are the most important   client-side (HTML5  CSS JavaScript   libraries and why2790.docx;N\:programmatuur\programeren\Boeken;;;;;programmatuur;programeren;Boeken;;Bezigheid;programmeren;;;;Boek
What are the best books for learning   programming2791.docx;N\:programmatuur\programeren\Boeken;;;;;programmatuur;programeren;Boeken;;Bezigheid;programmeren;;;;Boek
T-Mobile\_Factuur\_20190930 theo2438.pdf;N\:leverancier\internet\t-mobile;;;;;leverancier;internet;t-mobile;;Bezigheid;abonnement;;t-mobile;;Factuur
De Roode Roos factuur 010520173004.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
De Roode Roos factuur 010720163005.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
De Roode Roos factuur 201220163006.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur De Natuur Apotheek dd   020720203007.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur De Natuur Apotheek dd   100320213008.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur De Natuur Apotheek dd   130720213009.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur De Natuur Apotheek dd   130820193010.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur De Natuur Apotheek dd   191120203011.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur De Natuur Apotheek dd   221120223012.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur De Natuur Apotheek dd   260920183013.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur Hahnemann Apotheek   031020233014.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur IN00243219034312024000007309237   280420243015.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur NatuurApotheek 030420233016.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur Natuurapotheek 031020163017.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur Natuurapotheek 070320193018.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
Factuur Natuurapotheek 19-6-20173019.pdf;N\:zorg\apotheker;;;;;zorg;apotheker;;;"Geval; Bezigheid";ziektekosten;Zorgverlener;apotheker;;Factuur
